nm,abs,blue,bluegreen,green,orange,white,yellow,red
400.06,0.07093596,11.52,14.834,10,8,11,7.707,10
400.41,0.06735334,0,7,8.501,14.576,9.087,11,13.854
400.77,0.07236901,8.52,8.834,16,12,3,14.707,15
401.13,0.07093596,6,8,12.501,11.576,9.087,15,10.854
401.49,0.07165249,14.52,11.834,6,6,8,12.707,9
401.84,0.07595163,17,12,8.501,9.576,6.087,14,13.854
402.2,0.07595163,10.52,7.834,10,7,7,19.707,16
402.56,0.07523511,7,9,13.501,9.576,7.087,10,14.854
402.91,0.07810121,13.52,8.834,14,16,9,11.707,14
403.27,0.08025078,11,14,18.501,13.576,8.087,12,9.854
403.63,0.07810121,6.52,12.834,16,14,8,10.707,11
403.98,0.07953426,5,10,13.501,13.576,13.087,16,11.854
404.34,0.08240036,8.52,18.834,18,21,10,18.707,12
404.7,0.08096731,11,18,16.501,8.576,3.087,7,2.854
405.05,0.08383341,3.52,13.834,10,8,3,8.707,7
405.41,0.08669951,8,14,9.501,10.576,13.087,15,12.854
405.77,0.08813256,1.52,5.834,8,7,5,13.707,13
406.12,0.08813256,11,5,11.501,14.576,8.087,15,14.854
406.48,0.08741603,19.52,2.834,7,8,15,14.707,15
406.84,0.08526646,8,3,17.501,8.576,4.087,17,10.854
407.19,0.08813256,8.52,11.834,21,9,0,17.707,9
407.55,0.08884908,7,2,19.501,9.576,9.087,13,9.854
407.9,0.08956561,9.52,4.834,14,14,7,12.707,5
408.26,0.08741603,16,16,8.501,16.576,14.087,15,10.854
408.62,0.09243171,11.52,5.834,13,24,16,20.707,11
408.97,0.08956561,10,16,10.501,7.576,10.087,10,13.854
409.33,0.09243171,6.52,15.834,9,8,12,15.707,11
409.69,0.09458128,8,7,9.501,9.576,11.087,10,9.854
410.04,0.09601433,8.52,0.834,14,7,10,3.707,17
410.4,0.09243171,8,6,14.501,9.576,11.087,9,12.854
410.75,0.09601433,8.52,11.834,13,11,12,8.707,16
411.11,0.09243171,8,6,13.501,14.576,9.087,16,15.854
411.47,0.09673086,7.52,11.834,8,8,13,7.707,19
411.82,0.09601433,5,8,9.501,8.576,10.087,12,17.854
412.18,0.09744738,7.52,8.834,12,10,13,4.707,10
412.53,0.09816391,11,6,7.501,4.576,12.087,9,10.854
412.89,0.09744738,10.52,13.834,10,7,13,10.707,11
413.24,0.10174653,8,9,15.501,6.576,12.087,14,6.854
413.6,0.09816391,10.52,6.834,5,6,12,12.707,6
413.96,0.09816391,6,9,10.501,13.576,12.087,16,17.854
414.31,0.09673086,6.52,10.834,16,13,14,17.707,19
414.67,0.10103,7,17,10.501,14.576,13.087,12,14.854
415.02,0.09959695,5.52,15.834,13,5,18,17.707,7
415.38,0.10103,10,12,10.501,15.576,15.087,10,14.854
415.73,0.1038961,14.52,13.834,7,13,24,11.707,10
416.09,0.1038961,8,12,7.501,15.576,16.087,16,18.854
416.44,0.10461263,8.52,10.834,10,12,20,6.707,12
416.8,0.1038961,3,10,15.501,8.576,16.087,11,10.854
417.16,0.10461263,8.52,7.834,14,10,17,10.707,6
417.51,0.1038961,10,9,15.501,8.576,15.087,9,8.854
417.87,0.10604568,7.52,9.834,11,8,14,10.707,10
418.22,0.10604568,17,15,7.501,6.576,14.087,12,10.854
418.58,0.10604568,21.52,6.834,10,13,23,12.707,15
418.93,0.1067622,12,5,16.501,8.576,26.087,10,9.854
419.29,0.10891178,11.52,15.834,10,13,21,19.707,12
419.64,0.1096283,12,9,11.501,7.576,19.087,17,12.854
420,0.11034483,11.52,15.834,15,15,18,17.707,16
420.35,0.10747873,5,13,14.501,9.576,20.087,16,11.854
420.71,0.1096283,9.52,11.834,13,11,23,10.707,14
421.06,0.11034483,10,12,9.501,8.576,24.087,10,10.854
421.42,0.11034483,8.52,5.834,9,14,23,5.707,14
421.77,0.11321093,15,9,22.501,7.576,22.087,6,5.854
422.13,0.11106135,14.52,7.834,14,0,26,18.707,6
422.48,0.11177788,6,12,9.501,10.576,30.087,16,12.854
422.84,0.1124944,13.52,8.834,9,9,33,13.707,16
423.19,0.1182266,10,13,11.501,8.576,31.087,9,14.854
423.55,0.1153605,10.52,5.834,9,8,33,11.707,14
423.9,0.11751008,19,8,16.501,8.576,34.087,10,13.854
424.25,0.11679355,11.52,13.834,19,15,28,15.707,10
424.61,0.11607703,14,9,13.501,9.576,44.087,19,13.854
424.96,0.11679355,14.52,7.834,11,9,38,14.707,11
425.32,0.11894313,9,8,19.501,7.576,44.087,15,16.854
425.67,0.11965965,15.52,10.834,10,8,40,10.707,16
426.03,0.1210927,12,9,8.501,1.576,34.087,8,10.854
426.38,0.11965965,20.52,9.834,1,11,47,9.707,16
426.74,0.12252575,17,8,11.501,7.576,46.087,5,9.854
427.09,0.12180923,15.52,9.834,15,7,59,14.707,18
427.44,0.12037618,17,8,13.501,5.576,67.087,12,13.854
427.8,0.11894313,17.52,12.834,15,7,56,9.707,13
428.15,0.1210927,11,11,14.501,5.576,58.087,11,9.854
428.51,0.1210927,18.52,8.834,10,5,66,9.707,9
428.86,0.1210927,12,11,12.501,6.576,63.087,19,13.854
429.22,0.1210927,15.52,15.834,12,8,68,10.707,8
429.57,0.12539185,25,7,10.501,11.576,72.087,25,13.854
429.92,0.12610837,18.52,12.834,12,9,77,10.707,10
430.28,0.12610837,17,10,11.501,4.576,91.087,15,2.854
430.63,0.12467532,30.52,9.834,5,3,92,16.707,14
430.99,0.1268249,23,13,17.501,6.576,92.087,14,7.854
431.34,0.12754142,19.52,11.834,13,7,97,19.707,10
431.69,0.12610837,26,13,13.501,18.576,102.087,12,2.854
432.05,0.12754142,28.52,10.834,19,6,106,10.707,6
432.4,0.129691,28,0,10.501,12.576,114.087,15,8.854
432.75,0.12825795,26.52,11.834,10,10,129,6.707,8
433.11,0.12825795,35,17,11.501,13.576,123.087,15,16.854
433.46,0.13112405,32.52,8.834,15,16,118,8.707,9
433.82,0.13040752,31,14,15.501,7.576,138.087,16,12.854
434.17,0.13040752,34.52,15.834,9,4,147,10.707,11
434.52,0.1325571,29,20,14.501,16.576,141.087,15,5.854
434.88,0.1325571,33.52,13.834,13,5,155,4.707,11
435.23,0.13327362,39,15,10.501,12.576,160.087,16,7.854
435.58,0.13470667,37.52,16.834,15,10,177,10.707,0
435.94,0.13470667,35,16,9.501,1.576,196.087,15,8.854
436.29,0.13327362,37.52,16.834,16,7,198,9.707,7
436.64,0.13327362,32,8,14.501,10.576,188.087,12,13.854
437,0.13399015,40.52,12.834,9,7,192,10.707,10
437.35,0.1354232,34,9,14.501,13.576,203.087,24,10.854
437.7,0.1354232,40.52,14.834,16,7,223,19.707,9
438.06,0.13399015,39,16,17.501,17.576,233.087,14,13.854
438.41,0.1354232,40.52,12.834,19,7,220,16.707,11
438.76,0.13399015,53,12,10.501,7.576,239.087,13,9.854
439.11,0.13613972,57.52,10.834,9,5,241,9.707,4
439.47,0.1382893,63,9,16.501,9.576,254.087,14,2.854
439.82,0.13757277,61.52,15.834,4,12,269,9.707,4
440.17,0.1382893,56,15,8.501,12.576,284.087,11,9.854
440.53,0.13685625,55.52,12.834,14,8,284,8.707,8
440.88,0.13757277,67,15,16.501,13.576,310.087,18,5.854
441.23,0.13972235,72.52,10.834,18,14,306,18.707,13
441.59,0.1382893,81,8,15.501,10.576,337.087,15,13.854
441.94,0.13972235,82.52,17.834,16,14,345,10.707,13
442.29,0.13972235,72,17,19.501,7.576,332.087,11,10.854
442.64,0.14043887,81.52,13.834,14,11,356,14.707,15
443,0.13900582,86,13,21.501,15.576,378.087,12,2.854
443.35,0.13972235,96.52,18.834,16,12,391,6.707,7
443.7,0.1411554,96,17,11.501,8.576,431.087,10,10.854
444.05,0.14043887,100.52,17.834,2,10,446,10.707,6
444.41,0.13972235,107,9,6.501,8.576,446.087,12,8.854
444.76,0.14187192,110.52,18.834,10,8,464,7.707,13
445.11,0.1411554,111,15,10.501,8.576,475.087,9,10.854
445.46,0.1411554,122.52,14.834,15,11,466,13.707,13
445.82,0.14187192,125,16,18.501,8.576,495.087,15,5.854
446.17,0.14258845,131.52,15.834,16,7,531,7.707,11
446.52,0.14258845,141,8,8.501,14.576,505.087,18,12.854
446.87,0.1440215,136.52,10.834,14,10,512,15.707,6
447.22,0.1440215,158,16,11.501,7.576,565.087,17,8.854
447.58,0.14617107,173.52,13.834,8,11,642,21.707,9
447.93,0.14473802,174,15,9.501,12.576,613.087,16,6.854
448.28,0.14545455,166.52,22.834,18,11,581,13.707,6
448.63,0.14545455,189,12,19.501,6.576,626.087,12,15.854
448.98,0.14617107,217.52,19.834,13,8,679,13.707,21
449.34,0.14617107,210,12,15.501,18.576,677.087,10,10.854
449.69,0.14760412,206.52,17.834,5,12,735,14.707,14
450.04,0.14760412,216,13,9.501,8.576,742.087,13,6.854
450.39,0.14617107,247.52,21.834,17,18,787,22.707,15
450.74,0.1468876,249,22,14.501,16.576,772.087,16,7.854
451.1,0.14903717,287.52,23.834,10,11,842,4.707,11
451.45,0.14760412,259,22,7.501,20.576,809.087,7,5.854
451.8,0.14832064,285.52,22.834,6,7,880,10.707,14
452.15,0.14903717,304,15,11.501,12.576,937.087,12,10.854
452.5,0.15118674,311.52,15.834,10,12,929,2.707,6
452.85,0.14975369,320,14,7.501,13.576,930.087,9,16.854
453.21,0.15047022,334.52,21.834,15,8,949,8.707,11
453.56,0.14975369,365,22,6.501,8.576,1006.087,10,10.854
453.91,0.15047022,383.52,20.834,15,12,1057,5.707,14
454.26,0.14975369,383,19,10.501,9.576,1063.087,11,13.854
454.61,0.15190327,427.52,15.834,9,14,1147,2.707,11
454.96,0.15118674,443,21,11.501,12.576,1135.087,8,12.854
455.31,0.15261979,479.52,22.834,21,22,1277,15.707,11
455.67,0.15333632,505,25,15.501,12.576,1319.087,10,6.854
456.02,0.15405284,511.52,24.834,11,7,1298,13.707,8
456.37,0.15333632,527,22,9.501,8.576,1303.087,16,15.854
456.72,0.15190327,532.52,27.834,14,11,1305,12.707,13
457.07,0.15548589,603,25,11.501,13.576,1456.087,14,7.854
457.42,0.15548589,626.52,28.834,13,8,1473,6.707,9
457.77,0.15763547,679,26,24.501,18.576,1588.087,15,16.854
458.12,0.15691894,705.52,29.834,22,22,1631,18.707,21
458.47,0.15548589,744,31,18.501,15.576,1716.087,16,7.854
458.82,0.15763547,803.52,29.834,14,11,1795,13.707,20
459.18,0.15763547,821,33,11.501,11.576,1813.087,15,10.854
459.53,0.15978504,864.52,32.834,24,17,1894,15.707,16
459.88,0.15906852,893,32,11.501,12.576,1894.087,11,5.854
460.23,0.15835199,918.52,35.834,9,12,1929,12.707,11
460.58,0.16050157,989,38,14.501,11.576,2072.087,9,10.854
460.93,0.16193462,1108.52,35.834,16,13,2290,15.707,8
461.28,0.16193462,1182,42,7.501,17.576,2335.087,15,3.854
461.63,0.16121809,1173.52,43.834,2,13,2304,12.707,14
461.98,0.16193462,1210,43,8.501,11.576,2347.087,13,9.854
462.33,0.16193462,1230.52,47.834,4,13,2356,8.707,16
462.68,0.16265114,1325,43,10.501,11.576,2493.087,17,16.854
463.03,0.16480072,1485.52,50.834,12,13,2726,15.707,15
463.38,0.16480072,1542,53,16.501,3.576,2809.087,14,16.854
463.73,0.16551724,1598.52,53.834,14,7,2847,19.707,18
